route	step	geom
0	0	LINESTRING (139.74133 35.68213, 139.74133 35.68198, 139.74133 35.681810000000006, 139.74132 35.681450000000005, 139.74132 35.68142, 139.74132 35.68139, 139.74132 35.68135, 139.74149 35.68131, 139.74188 35.68121)
0	1	LINESTRING (139.74188 35.68121, 139.74189 35.680930000000004, 139.74191000000002 35.680550000000004, 139.74191000000002 35.68043, 139.74191000000002 35.68034, 139.74192000000002 35.6803, 139.74192000000002 35.68027, 139.74192000000002 35.68025, 139.74192000000002 35.68023, 139.74193000000002 35.680220000000006, 139.74193000000002 35.68021, 139.74194 35.68019, 139.74195 35.680170000000004, 139.74198 35.680130000000005, 139.74201000000002 35.68009, 139.74203 35.68007, 139.74205 35.68003, 139.74207 35.68001, 139.74209000000002 35.67998, 139.74212 35.67994, 139.74214 35.679930000000006, 139.74217000000002 35.6799, 139.74223 35.679880000000004, 139.74235000000002 35.67982, 139.74246000000002 35.679770000000005, 139.74261 35.679700000000004, 139.74263000000002 35.67969, 139.74276 35.67963, 139.74284 35.679590000000005, 139.74290000000002 35.67956, 139.74295 35.67953, 139.74301 35.679480000000005, 139.74304 35.679460000000006, 139.74308000000002 35.67942)
0	2	LINESTRING (139.74308000000002 35.67942, 139.74309000000002 35.679410000000004, 139.74315 35.679320000000004, 139.74317000000002 35.679280000000006, 139.74317000000002 35.679170000000006, 139.74317000000002 35.678810000000006, 139.74317000000002 35.67866, 139.74317000000002 35.67857, 139.74317000000002 35.678540000000005, 139.74317000000002 35.67804, 139.74317000000002 35.677780000000006, 139.74317000000002 35.677730000000004)
0	3	LINESTRING (139.74317000000002 35.677730000000004, 139.74321 35.67765, 139.74325000000002 35.677550000000004, 139.74327000000002 35.677440000000004, 139.74338 35.67705, 139.74341 35.67691, 139.74342000000001 35.67689, 139.74353000000002 35.67649, 139.74358 35.67633, 139.74369000000002 35.675920000000005, 139.74394 35.675070000000005, 139.74401 35.67479, 139.74412 35.67443, 139.74426000000003 35.673880000000004, 139.74428 35.67381, 139.74424000000002 35.67369, 139.74433000000002 35.673350000000006, 139.74433000000002 35.67333, 139.74437 35.673210000000005, 139.74442000000002 35.67306, 139.74446 35.67295, 139.74457 35.67273, 139.74459000000002 35.67268, 139.74475 35.672340000000005, 139.7448 35.67224, 139.74488000000002 35.672070000000005)
0	4	LINESTRING (139.74488000000002 35.672070000000005, 139.74492 35.67197, 139.74496000000002 35.67186, 139.74474 35.671820000000004, 139.74448 35.671760000000006, 139.74433000000002 35.671730000000004, 139.74427 35.671710000000004, 139.74415000000002 35.671690000000005, 139.744 35.671640000000004, 139.74387000000002 35.67159, 139.74374 35.671530000000004, 139.74367 35.671490000000006, 139.74367 35.67148, 139.74360000000001 35.671440000000004, 139.7435 35.67137, 139.74341 35.6713, 139.74333000000001 35.671240000000004)
0	5	LINESTRING (139.74333000000001 35.671240000000004, 139.7434 35.671060000000004, 139.74347 35.67089, 139.74390000000002 35.67081, 139.74392 35.6708, 139.74435000000003 35.670700000000004, 139.74491 35.670590000000004, 139.74549000000002 35.670480000000005)
0	6	LINESTRING (139.74549000000002 35.670480000000005, 139.74571 35.670390000000005, 139.74581 35.67033, 139.74586000000002 35.67029, 139.74594000000002 35.670190000000005, 139.74598 35.67015, 139.74609 35.67005, 139.74616 35.67, 139.74629000000002 35.669900000000005, 139.74661 35.669630000000005, 139.74677 35.669500000000006, 139.74711000000002 35.66921, 139.74720000000002 35.66912, 139.74725 35.66906, 139.74731 35.669000000000004, 139.74738000000002 35.668910000000004, 139.74761 35.66859, 139.74779 35.668350000000004, 139.74800000000002 35.66805, 139.74809000000002 35.66798, 139.74826000000002 35.667790000000004, 139.74837000000002 35.667640000000006, 139.74845000000002 35.66754, 139.74853000000002 35.66743, 139.74857 35.66738, 139.74865 35.667280000000005, 139.74871000000002 35.667190000000005, 139.74876 35.66713, 139.74880000000002 35.667080000000006, 139.74884 35.66704, 139.74886 35.66702, 139.74896 35.66693, 139.74898000000002 35.66691, 139.74905 35.66686, 139.74905 35.666850000000004, 139.74913 35.666790000000006, 139.74914 35.66678, 139.74922 35.66673, 139.74932 35.66667, 139.74936000000002 35.666650000000004, 139.7495 35.66657, 139.74951000000001 35.666560000000004, 139.74967 35.66649, 139.74969000000002 35.66648, 139.74989000000002 35.666410000000006, 139.74997000000002 35.666380000000004, 139.75009 35.66633, 139.75018 35.6663, 139.7503 35.66626, 139.75038 35.666230000000006, 139.75050000000002 35.666180000000004, 139.75058 35.66615, 139.75070000000002 35.66611, 139.75078000000002 35.66608, 139.7509 35.666030000000006, 139.7511 35.665960000000005, 139.75127 35.6659, 139.75130000000001 35.66588, 139.75136 35.66586, 139.75157000000002 35.66579, 139.75177000000002 35.66572, 139.75218 35.665580000000006, 139.75238000000002 35.665510000000005, 139.75248000000002 35.66548, 139.75259 35.665440000000004, 139.75279 35.665380000000006, 139.75320000000002 35.665240000000004, 139.75341 35.66517, 139.75352 35.66514, 139.75361 35.6651, 139.7538 35.665020000000005, 139.75401000000002 35.66494, 139.75421 35.664860000000004, 139.75423 35.66485, 139.7544 35.66478, 139.7546 35.6647, 139.75466 35.66467, 139.75500000000002 35.664550000000006, 139.75541 35.6644, 139.75561000000002 35.66433, 139.75582 35.664260000000006, 139.75604 35.66418, 139.75635 35.664080000000006, 139.75645 35.66404, 139.75663 35.66398, 139.7568 35.66393, 139.75687000000002 35.66391, 139.757 35.66387, 139.75709 35.663850000000004, 139.75712000000001 35.66384, 139.75725 35.663810000000005, 139.75734 35.663790000000006, 139.75742000000002 35.66377, 139.75751000000002 35.66375, 139.75758000000002 35.663740000000004, 139.75775000000002 35.66371, 139.7579 35.66369)
0	7	LINESTRING (139.7579 35.66369, 139.75809 35.66369, 139.75823 35.663700000000006, 139.75839000000002 35.663720000000005, 139.75851 35.66373, 139.75875000000002 35.66376, 139.75882000000001 35.66376, 139.75889 35.66376, 139.75907 35.66375, 139.75918000000001 35.663740000000004, 139.75927000000001 35.663740000000004, 139.75938000000002 35.66373, 139.75944 35.663720000000005, 139.75956000000002 35.66371, 139.75976 35.66367, 139.75979 35.66367, 139.75995 35.663650000000004, 139.76006 35.663630000000005, 139.76023 35.6636, 139.76024 35.6636, 139.76045000000002 35.66357, 139.76071000000002 35.66357, 139.76081000000002 35.66358, 139.76090000000002 35.66358, 139.76095 35.663590000000006, 139.76101 35.6636, 139.76105 35.6636, 139.76118000000002 35.66362, 139.76134000000002 35.66366, 139.76151000000002 35.66369, 139.76160000000002 35.663720000000005, 139.76211 35.663850000000004, 139.76232000000002 35.663900000000005, 139.76255 35.66396, 139.76291 35.663970000000006, 139.76307 35.66396)
0	8	LINESTRING (139.76307 35.66396, 139.76339000000002 35.66382, 139.76361 35.66373, 139.76378000000003 35.66366, 139.76378000000003 35.663650000000004, 139.76401 35.66353, 139.76414 35.663430000000005, 139.76431000000002 35.66335, 139.76442 35.66331, 139.76453 35.663270000000004, 139.76461 35.663250000000005, 139.76488 35.663180000000004, 139.76499 35.66315, 139.76530000000002 35.663070000000005, 139.7654 35.663050000000005, 139.76549 35.663030000000006, 139.76564000000002 35.663000000000004, 139.76576 35.663000000000004, 139.76581000000002 35.663000000000004, 139.76589 35.663000000000004, 139.76603 35.663000000000004, 139.76614 35.663030000000006, 139.76626000000002 35.663070000000005)
0	9	LINESTRING (139.76626000000002 35.663070000000005, 139.76631 35.663090000000004, 139.76643 35.662980000000005, 139.76672000000002 35.66282, 139.76699000000002 35.662650000000006, 139.76716000000002 35.662560000000006, 139.76726000000002 35.6625, 139.76775 35.662180000000006, 139.76791 35.66205, 139.76804 35.66196, 139.76841000000002 35.661640000000006, 139.76852000000002 35.66152, 139.76874 35.661300000000004, 139.76893 35.661120000000004, 139.76914000000002 35.660940000000004, 139.76929 35.66082, 139.76944 35.660700000000006, 139.76954 35.66062, 139.76967000000002 35.66051, 139.76982 35.660360000000004, 139.76988 35.66031, 139.77003000000002 35.660180000000004, 139.77017 35.660030000000006, 139.77035 35.65979, 139.77043 35.65972, 139.77051 35.65964, 139.77062 35.659530000000004, 139.77062 35.65952, 139.77082000000001 35.65932)
